	name	comments
0	上原斗	万一呢[doge]
1	向艺术家付款	许愿，万一呢[星星眼][星星眼][大笑][大笑]
2	念心昕日落	能不能是我呢？嘿嘿！
3	小仓鼠屯钱中	上交硬币，爱你
4	想单杀你的贞德	万一呢？[doge]
5	梦笙柯	哈哈哈，万一呢，哈哈哈
6	疯子风子疯	万一中了呢！
7	中间人我	我要中奖
8	阿纳塔玛希	up会成为我入坑实卡的助推人吗[脱单doge]
9	樱花璃琉	来当分母了[脸红]
10	怀怀子在摸鱼	万一呢，万一就中了呢[喜欢][喜欢]
11	路南一路向东	万一呢
12	乌拉老头	牛蛙牛哇
13	乌拉老头	牛哇牛哇
14	乌拉老头	来当分母了，黑魔女就是好看！[嗑瓜子]
15	假面骑士yjj	中！
16	蘭迪馬什	我抽
17	无言白方	[吃瓜]
18	雨无刻	万一呢
19	幻樱丶殘	提前分母，加油up！
20	七星剡龙	[雫るる_好耶]万一呢
21	游戏手里的小布偶	这个是黑魔导的盒子，有人一盒开到了两个黑魔导少女
22	曦梦灬逐梦	[虎年]
23	Z无恒	反正也抽不到，就祝各位注定一抽吧[狗子]
24	魔法少女王样	我来组成分母[OK][doge]
25	兔子君一年级	万一中奖了呢！！！
26	180票换鸡翅	许愿[傲娇][傲娇]
27	额额汗	拉低中奖率[doge]
28	我特酿真是梅林	芜湖
29	ZhJOEao	来了来了来了
30	理解不能ア	万一呢对不对[怪我咯]
31	THODJ_NO1_lky	中
32	赤色灬心	万一呢[冰墩墩]
33	Zodiac_Kaitul	蹲一手。
34	东风赠予君	抽我[doge]
35	夏柠依	[tv_doge]
36	xxxxxfffffl	万一呢[妙啊]
37	海岚梓嘉	万一呢
38	一只坏兽	球球了
39	一只坏兽	呜呜呜带我一个
40	放开那禽受	试试运气[doge]
41	巨剑流的法师	万一呢[给心心]
42	黄金的最强GAMER	万一( ゜- ゜)つロ[热词系列_知识增加]
43	迪奥法诺降临到我身边	来拉低中奖率了
44	shallinda	太强了，这种好东西也是可以抽奖的吗[doge]
45	shallinda	一听到抽奖我就来劲了
46	天地人神鬼魔妖	万二呢
47	永夜的黎明丶	没有万一
48	一只小小函	插个眼，万一中了呢[doge]
49	黑色白色青涩	万一呢？[doge]
50	爱吃辉夜的妹红	还挺好看的这异画
51	某受丶小一	[打call][打call][打call]
52	有馬直樹	万一呢
53	閃刀起動-エンゲージ	万一呢[脱单doge]
54	星辉白羽	[doge][doge][doge]
55	skuyk	万一呢[doge]
56	冷月小妖	万一万一[奸笑]
57	红包了了了了了了	万一呢
58	yplxf	成为分母
59	imba0505	真的很喜欢游戏王 萌新一个 希望中奖！
60	渊眼白猫	真正的决斗者一切都是必然的，买不到我还抽不到吗[doge]
61	摸余的玩偶	[doge][doge]
62	渊眼白猫	来碰碰运气，希望能中套装，买不到我还抽不到吗[doge]
63	云的彼方	来了来了
64	QuanTumXE	中!
65	k之依	芜湖！我想中
66	无垢心白野	游戏王真贵……试试看
67	一个滑铲进__	我我我
68	梓渌FFFly	拉低中奖率[脱单doge]
69	再不赌	现在关注就是老粉了[吃瓜]
70	被窝ヽ	加油~
71	彦炙	万一呢[doge]
72	尼总	评论转发
73	我要做maqima大人的狗	ccccc
74	猪1233	青眼白龙……嘿嘿…嘿[害羞]
75	白面包bmb	嗨嗨
76	贱贱的眠儿	万一呢
77	生者油烟official	🀄️
78	永恒Fly	我我我[滑稽]
79	爷不取名啦	万一呢
80	没有该有的亚子	万一呢
81	十五弦丶	[摩羯座_呜哇]
82	xw_zzr	黑魔导黑魔导
83	凛白无瑕	拉低概率
84	是红神啊	来了
85	元气满满欧气爆棚	我来啦
86	真夏の白len	[hanser_问号]
87	小猪也自豪	来了！ 拉低！
88	长萌长萌萌	万一呢
89	bug-uzi	支持支持[藏狐]
90	绯间の暗	万一呢？[doge]
91	幽兰亭ヽ木桐	万一呢[doge]
92	雪白的梨子	我有个朋友他说他想要，万一闪刀姬了呢[doge]
93	叉烧鸡排饭	不得了
94	C_Ciel	试试
95	叉烧鸡排饭	好家伙，万一呢
96	六耳猕猴桃桃桃	我一直想有个契机玩实卡，疫情问题一直没有机会去卡店，当然了也是附近没有啥正经卡店，朋友也都不玩，想收卡开盒一直不知道该怎么搞也存在买了之后玩不了的问题。如果能中的话，就当下定决心的契机入坑实卡好了(●°u°●) 」！
97	-OOKAMI	万一中了呢[doge]
98	嶜阿	冲
99	脸灬是什么	来成为分子
100	是咕咕子哒	万一呢？[狗子]
101	漱绫月子	万一呢
102	tautology丶	现在还能万一吗[狗子]
103	雪うさぎ	万一呢？我来组成分母好吧
104	逝去的六枚硬币	已转已关注非常需要白龙卡套有同款但是不够用side15张套不满[辣眼睛]
105	Itz丰聪耳神子	万一呢
106	有三枚游戏币的卡七	万一呢
107	刘存希	实卡萌新来拉低中奖率[星星眼]
108	Roya1丶Zed	[打call]
109	生来只有17岁	万一呢？
110	舞者战士	摸
111	九日陨落	万一呢[嗑瓜子][嗑瓜子]
112	救祓少女共赴何方	做一个不现实的梦[拥抱]
113	King-Halo	万一呢[神乐七奈_好耶]
114	喜欢你眉眼带笑zf	求求了  真的想要
115	天贶柒	塔玛希
116	开膛手Dr苏	分母
117	明先生0906	麻了
118	淮渌居士	康康[脸红]
119	师父张米	虽然我不一定能中奖，但我能拉低中奖率呀。
120	Alisalist	我将以魔女术的形态出击[脱单doge][脱单doge]
121	水蛭poison	已转已关注
122	西门打卤面	万一[doge]
123	天天明日月	支持
124	不要抢我的小初音	千万一是我呢[doge]
125	绿色香蕉	老板大气
126	人间喧哗	参与一下
127	侑酱bb	不一定中，但是重在参与嘛[doge]
128	枫玺_	我愿与妲己建立羁绊！
129	时__间	万一呢？up选我啊
130	只会玩游戏的菜鸟	万一呢[doge]
131	启丶华	万一呢嘿嘿[星星眼]
132	九手	gogo[脱单doge]
133	拌饭加鸡蛋	抽奖是怎么抽？随机？
134	余山村扛把子	万一呢[冰墩墩]
135	狂野の疾风	万一呢
136	曦輝	蹲
137	暗漓斗神	看看能不能转运[原神_喝茶]
138	捞刀河拔草人	万一呢
139	花夏CA	来凑个热闹
140	中岛由贵的布丁	希望能中个闪刀姬的
141	月球上的春田花花	该做的我都做了，看你了up[脱单doge]
142	藏影之躯	带我带我
143	一噬夜	万一呢[doge]
144	怕死的小强666	万一呢
145	这是谁家那小天	分母
146	亡独死	万一呢
147	ttk-塔塔开-戦い	关注，三连，评论转发，该做的都做了，看up你的了[tv_坏笑]
